Riding,Liberal,PC,NDP,Green
Niagara Falls,Lionel Tupman,Bart Maves,Wayne Gates,Clarke Bitter
Niagara West--Glanbrook,David Mossey,Tim Hudak,Brian McCormack,Basia Krzyzanowski
St. Catharines,Jim Bradley,Mat Siscoe,Jennie Stevens,Karen Fraser
Welland,Benoit Mercier,Frank Campion,Cindy Forster,Donna Cridland
Brant,Dave Levac,Phil Gillies,Alex Felsky,Ken Burns
Cambridge,Kathryn McGarry,Rob Leone,Bobbi Stewart,Temara Brown
Guelph,Liz Sandals,Anthony MacDonald,James Gordon,Mike Schreiner
Haldimand--Norfolk,Karen Robinson,Toby Barrett,Ian Nichols,Anne Faulkner
Huron--Bruce,Colleen Schenk,Lisa Thompson,Jan Johnstone,Adam Werstine
Kitchener Centre,Daiene Vernile,Wayne Wettlaufer,Margaret Johnston,Ronnie Smith
Kitchener--Conestoga,Wayne Wright,Michael Harris,James Villeneuve,David Weber
Kitchener--Waterloo,Jamie Burton,Tracey Weiler,Catherine Fife,Stacey Danckert
Oxford,Dan Moulton,Ernie Hardeman,Bryan Smith,Mike Farlow
Perth--Wellington,Stewart Skinner,Randy Pettapiece,Romayne Smith Fullerton,Chris Desjardins
Wellington--Halton Hills,Dan Zister,Ted Arnott,Michael Carlucci,Dave Rodgers
Chatham--Kent--Essex,Terry Johnson,Rick Nicholls,Dan Gelinas,Ken Bell
Elgin--Middlesex--London,Serge Lavoie,Jeff Yurek,Kathy Cornish,John Fisher
Essex,Crystal Meloche,Ray Cecile,Taras Natyshak,Mark Vercouteren
Lambton--Kent--Middlesex,Mike Radan,Monte McNaughton,Joe Hill,James Armstrong
London--Fanshawe,Marcel Marcellin,Chris Robson,Teresa Armstrong,William Sorrell
London North Centre,Deb Matthews,Nancy Branscombe,Judy Bryant,Kevin Labonte
London West,Nick Steinburg,Jeff Bennett,Peggy Sattler,Keith McAlister
Sarnia--Lambton,Anne Marie Gillis,Bob Bailey,Brian White,Kevin Shaw
Windsor--Tecumseh,Jason Dupuis,Brandon Wright-Brandon,Percy Hatfield,Adam Wright-Adam
Windsor West,Teresa Piruzza,Henry Lau,Lisa Gretzky,Chad Durocher
Algoma--Manitoulin,Craig Hughson,Jib Turner,Michael Mantha,Alexandra Zalucky
Kenora--Rainy River,Anthony Leek,Randy Nickle,Sarah Campbell,Tim McKillop
Nickel Belt,James Tregonning,Marck Blay,France Gélinas,Heather Dahlstrom
Nipissing,Catherine Whiting,Vic Fedeli,Henri Giroux,Nicole Peltier
Parry Sound--Muskoka,Dan Waters,Norm Miller,Clyde Mobbley,Matt Richter
Sault Ste. Marie,David Orazietti,Rod Fremlin,Celia Ross,Kara Flannigan
Sudbury,Andrew Olivier,Paula Peroni,Joe Cimino,Casey Lalonde
Thunder Bay--Atikokan,Bill Mauro,Harold Wilson,Mary Kozorys,John Northey
Thunder Bay--Superior North,Michael Gravelle,Derek Parks,Andrew Foulds,Joseph LeBlanc
Timiskaming--Cochrane,Sébastien Goyer,Peter Politis,John Vanthof,Cody Fraser
Timmins--James Bay,Sylvie Fontaine,Steve Black,Gilles Bisson,Bozena Hrycyna
