AJAX--PICKERING,DICKSON,MCCARTHY,KING
TORONTO--DANFORTH,NEWMAN,SOLOMON,TABUNS
TRINITY--SPADINA,DONG,SCOTT,MARCHESE
VAUGHAN,DEL DUCA,MEFFE,COLETTA
WELLAND,MERCIER,CAMPION,FORSTER
WELLINGTON--HALTON HILLS,ZISTER,ARNOTT,CARLUCCI
WHITBY--OSHAWA,KRISHNAN,ELLIOTT,KELLY
WILLOWDALE,ZIMMER,CECI,BROWN
WINDSOR--TECUMSEH,DUPUIS,WRIGHT-BRANDON,HATFIELD
WINDSOR WEST,PIRUZZA,LAU,GRETZKY
YORK CENTRE,KWINTER,YUFEST,FAGAN
YORK--SIMCOE,CARRUTHERS,MUNRO,BOWMAN
YORK SOUTH--WESTON,ALBANESE,FFRENCH,FERREIRA
YORK WEST,SERGIO,NATION,RAKOCEVIC
