CARLETON--MISSISSIPPI MILLS,CORNELL,MACLAREN,DUFF
SARNIA--LAMBTON,BARRY,BAILEY,WHITE
WINDSOR--TECUMSEH,DUNCAN,DE VERTEUIL,MCAVOY
WINDSOR WEST,PIRUZZA,BRANCH,CHARIF
ALGOMA--MANITOULIN,BROWN,CHAPMAN,MANTHA
KENORA--RAINY RIVER,LEEK,MCKAY,CAMPBELL
NICKEL BELT,RYMA,PERONI,GÉLINAS
NIPISSING,WHITING,FEDELI,GIROUX
PARRY SOUND--MUSKOKA,WATERS,MILLER,ZYGANIUK
SAULT STE. MARIE,ORAZIETTI,TURNER,ROSS
SUDBURY,BARTOLUCCI,LABELLE,LOEWENBERG
THUNDER BAY--ATIKOKAN,MAURO,GILBERT,KOZORYS
THUNDER BAY--SUPERIOR NORTH,GRAVELLE,LEBLANC,MANTIS
TIMISKAMING--COCHRANE,BONIN,AULBROOK,VANTHOF
TIMMINS--JAMES BAY,RICKARD,SPACEK,BISSON
